rel_month,Coef,SE,CI_lo,CI_hi,t,p,N,Specification
-9,0.004598915203561155,0.00392834739079653,-0.0031006456824000436,0.012298476089522354,1.170699723332935,0.24177655494030814,223473,cont_fm
-8,-0.0003640141252467884,0.003522073518189666,-0.007267278220898532,0.0065392499704049565,-0.10335222231076267,0.9176876690799842,223473,cont_fm
-7,0.004947758243191421,0.0037002459335126656,-0.0023047237864934032,0.012200240272876245,1.337143079701863,0.18123814624899293,223473,cont_fm
-6,0.0025297981423027557,0.003476340610574083,-0.004283829454422447,0.00934342573902796,0.7277187208318419,0.46682063630042037,223473,cont_fm
-5,-0.0027426191888504196,0.003047679444864491,-0.008716070900784821,0.0032308325230839827,-0.8999040871807845,0.3682156170462667,223473,cont_fm
-4,-0.0009859441374771391,0.002862950155046293,-0.006597326441367873,0.0046254381664135955,-0.34438047611108225,0.7305749815101648,223473,cont_fm
-3,0.0076560885740253075,0.00221644831333773,0.0033118498798833567,0.012000327268167257,3.4542148030043935,0.0005565846808290864,223473,cont_fm
-2,0.006738255567607324,0.0014226249966219804,0.003949910574228242,0.009526600560986406,4.736494567160914,2.2360089442230446e-06,223473,cont_fm
-1,0.0,0.0,0.0,0.0,,,223473,cont_fm
0,-0.0009261296311732145,0.0017887963305279816,-0.004432170439008058,0.0025799111766616296,-0.5177390043615854,0.6046638060354641,223473,cont_fm
1,0.00046992991433372235,0.002492546714887389,-0.00441546164684556,0.0053553214755130045,0.18853404492960663,0.8504658550963917,223473,cont_fm
2,0.002373833431481136,0.002575436454049025,-0.0026740220184549527,0.007421688881417225,0.9217208321133552,0.35671969215463273,223473,cont_fm
3,-0.0009058086178737309,0.0026813370302230166,-0.006161229197110843,0.004349611961363382,-0.33781975472079745,0.7355135259552479,223473,cont_fm
4,-0.0021673971840112365,0.0026327656653221177,-0.007327617888042587,0.002992823520020114,-0.8232396876636023,0.41041185715753503,223473,cont_fm
5,0.00037972212179555854,0.0026410651959683645,-0.004796765662302436,0.005556209905893553,0.1437761257750136,0.8856831814539297,223473,cont_fm
6,-0.000734403654366709,0.0026723512423286557,-0.0059722120893308745,0.004503404780597456,-0.27481554173498474,0.7834695691696272,223473,cont_fm
7,0.0001765576306610462,0.002614552454981211,-0.004947965181102128,0.005301080442424219,0.06752881561992413,0.9461634841936679,223473,cont_fm
8,0.00907594610508708,0.002677875183761644,0.0038273107449142574,0.014324581465259901,3.3892341809366884,0.0007064265145113602,223473,cont_fm
9,0.0237933061886272,0.0030720622290760368,0.01777206421963817,0.029814548157616232,7.74505996767629,1.1546319456101628e-14,223473,cont_fm
10,0.02214274468141591,0.002927612018273793,0.016404625125599273,0.027880864237232544,7.563415009640495,4.6629367034256575e-14,223473,cont_fm
11,0.022115104460172206,0.002891028036434067,0.016448689508761435,0.027781519411582977,7.649564162459676,2.4202861936828413e-14,223473,cont_fm
12,0.02160354851341115,0.0028213579160102525,0.016073686998031057,0.027133410028791244,7.657145656996695,2.2648549702353193e-14,223473,cont_fm
13,0.0213270667914436,0.0028120279110158673,0.0158154920858525,0.0268386414970347,7.584230123711336,3.9745984281580604e-14,223473,cont_fm
14,0.02130061249674504,0.002785366473225304,0.015841294209223443,0.02675993078426664,7.647328529836177,2.4424906541753444e-14,223473,cont_fm
15,0.008213630845662944,0.0029761636750671658,0.0023803500425312986,0.01404691164879459,2.759804816674802,0.005805135150948937,223473,cont_fm
