bootstrap_id,feature,label,rank,mean_abs_shap
63,kw_data_app_p10k,数据驱动应用,1,0.006415612797632396
63,kw_data_value_p10k,数据价值变现,5,0.001953980698175981
63,kw_data_gov_p10k,数据治理,4,0.0029541749821600503
64,kw_data_stock_p10k,数据存量,3,0.005123374939201695
64,kw_data_dev_p10k,数据开发能力,1,0.006544458531850305
64,kw_data_app_p10k,数据驱动应用,2,0.005377104195166666
64,kw_data_value_p10k,数据价值变现,5,0.0010812029409832408
64,kw_data_gov_p10k,数据治理,4,0.0023001264033836346
65,kw_data_stock_p10k,数据存量,2,0.005199059408757179
65,kw_data_dev_p10k,数据开发能力,1,0.00572857077652247
65,kw_data_app_p10k,数据驱动应用,3,0.004932614672264127
65,kw_data_value_p10k,数据价值变现,5,0.0011947941068841048
65,kw_data_gov_p10k,数据治理,4,0.0032946408927011844
66,kw_data_stock_p10k,数据存量,3,0.00495538024009836
66,kw_data_dev_p10k,数据开发能力,1,0.006201715846405066
66,kw_data_app_p10k,数据驱动应用,2,0.005964496681174385
66,kw_data_value_p10k,数据价值变现,5,0.0013145495887644798
66,kw_data_gov_p10k,数据治理,4,0.0029941711381697247
67,kw_data_stock_p10k,数据存量,2,0.005448992651294742
67,kw_data_dev_p10k,数据开发能力,3,0.0052257521197854135
67,kw_data_app_p10k,数据驱动应用,1,0.005734854399795739
67,kw_data_value_p10k,数据价值变现,5,0.0017231500463811892
67,kw_data_gov_p10k,数据治理,4,0.002617525697354507
68,kw_data_stock_p10k,数据存量,2,0.005510699733016514
68,kw_data_dev_p10k,数据开发能力,3,0.005400462278963424
68,kw_data_app_p10k,数据驱动应用,1,0.005839313213943476
68,kw_data_value_p10k,数据价值变现,5,0.0017548258546851566
68,kw_data_gov_p10k,数据治理,4,0.002223196832769249
69,kw_data_stock_p10k,数据存量,3,0.004436262823445288
69,kw_data_dev_p10k,数据开发能力,1,0.005892818488275247
69,kw_data_app_p10k,数据驱动应用,2,0.005810947011795675
69,kw_data_value_p10k,数据价值变现,5,0.001549301202349218
69,kw_data_gov_p10k,数据治理,4,0.0024049181234484514
70,kw_data_stock_p10k,数据存量,3,0.005671309508256421
70,kw_data_dev_p10k,数据开发能力,1,0.006107168632462841
70,kw_data_app_p10k,数据驱动应用,2,0.005807115390367209
70,kw_data_value_p10k,数据价值变现,5,0.0024955313424041624
70,kw_data_gov_p10k,数据治理,4,0.0028339290522007717
71,kw_data_stock_p10k,数据存量,2,0.006315857710370795
71,kw_data_dev_p10k,数据开发能力,1,0.006327956136963982
71,kw_data_app_p10k,数据驱动应用,3,0.005566966026554877
71,kw_data_value_p10k,数据价值变现,5,0.001421432111645146
71,kw_data_gov_p10k,数据治理,4,0.002417103105968597
72,kw_data_stock_p10k,数据存量,3,0.005274366926005006
72,kw_data_dev_p10k,数据开发能力,1,0.0061970499649683835
72,kw_data_app_p10k,数据驱动应用,2,0.005806980673471178
72,kw_data_value_p10k,数据价值变现,5,0.0012225022883727004
72,kw_data_gov_p10k,数据治理,4,0.0023067458590021643
73,kw_data_stock_p10k,数据存量,3,0.005037003185743022
73,kw_data_dev_p10k,数据开发能力,2,0.005993093648128176
73,kw_data_app_p10k,数据驱动应用,1,0.006540145653320606
73,kw_data_value_p10k,数据价值变现,5,0.0016419992235836183
73,kw_data_gov_p10k,数据治理,4,0.002510183250562248
74,kw_data_stock_p10k,数据存量,1,0.0065862559002776025
74,kw_data_dev_p10k,数据开发能力,2,0.006152315960066362
74,kw_data_app_p10k,数据驱动应用,3,0.005540284295521281
74,kw_data_value_p10k,数据价值变现,5,0.0014633823620816863
74,kw_data_gov_p10k,数据治理,4,0.003294902549724123
75,kw_data_stock_p10k,数据存量,3,0.004948132322083078
75,kw_data_dev_p10k,数据开发能力,1,0.006731961924726695
75,kw_data_app_p10k,数据驱动应用,2,0.0055751259018885805
75,kw_data_value_p10k,数据价值变现,5,0.0013811172559318999
75,kw_data_gov_p10k,数据治理,4,0.0024517923433016488
76,kw_data_stock_p10k,数据存量,3,0.004639220527573735
76,kw_data_dev_p10k,数据开发能力,1,0.006317824483970949
76,kw_data_app_p10k,数据驱动应用,2,0.0050521532897283995
76,kw_data_value_p10k,数据价值变现,5,0.0015664104841384915
76,kw_data_gov_p10k,数据治理,4,0.00293160727434467
77,kw_data_stock_p10k,数据存量,2,0.005782410995839288
77,kw_data_dev_p10k,数据开发能力,1,0.006459712747667292
77,kw_data_app_p10k,数据驱动应用,3,0.005007590776429996
77,kw_data_value_p10k,数据价值变现,4,0.002619956395706061
77,kw_data_gov_p10k,数据治理,5,0.0021818931834683493
78,kw_data_stock_p10k,数据存量,3,0.0054317954412075415
78,kw_data_dev_p10k,数据开发能力,1,0.005742452275652
78,kw_data_app_p10k,数据驱动应用,2,0.0055717236751427375
78,kw_data_value_p10k,数据价值变现,5,0.0015827965696692916
78,kw_data_gov_p10k,数据治理,4,0.0028102259328501747
79,kw_data_stock_p10k,数据存量,3,0.005693899452682545
79,kw_data_dev_p10k,数据开发能力,1,0.0072610616681355634
79,kw_data_app_p10k,数据驱动应用,2,0.006213749805827646
79,kw_data_value_p10k,数据价值变现,5,0.0016344706875654395
79,kw_data_gov_p10k,数据治理,4,0.0025114011413952864
80,kw_data_stock_p10k,数据存量,2,0.005577787790556041
80,kw_data_dev_p10k,数据开发能力,1,0.006076429708307232
80,kw_data_app_p10k,数据驱动应用,3,0.005136691672357972
80,kw_data_value_p10k,数据价值变现,5,0.0015079643280565577
80,kw_data_gov_p10k,数据治理,4,0.0027075793260924606
81,kw_data_stock_p10k,数据存量,1,0.0061368217054177075
81,kw_data_dev_p10k,数据开发能力,2,0.005951792477245121
81,kw_data_app_p10k,数据驱动应用,3,0.005158252688537437
81,kw_data_value_p10k,数据价值变现,5,0.001369894207243793
81,kw_data_gov_p10k,数据治理,4,0.002568622151844488
82,kw_data_stock_p10k,数据存量,3,0.004857581034328984
82,kw_data_dev_p10k,数据开发能力,1,0.00634333600603736
82,kw_data_app_p10k,数据驱动应用,2,0.005342927863800957
82,kw_data_value_p10k,数据价值变现,5,0.001284158791070814
82,kw_data_gov_p10k,数据治理,4,0.0029280483411844257
83,kw_data_stock_p10k,数据存量,3,0.005495915179591011
83,kw_data_dev_p10k,数据开发能力,1,0.006027101116520369
83,kw_data_app_p10k,数据驱动应用,2,0.0057310824146491815
83,kw_data_value_p10k,数据价值变现,5,0.001382372762402866
83,kw_data_gov_p10k,数据治理,4,0.002335406751017892
84,kw_data_stock_p10k,数据存量,2,0.005862538519369329
84,kw_data_dev_p10k,数据开发能力,1,0.006107175015633612
84,kw_data_app_p10k,数据驱动应用,3,0.005100590218269361
84,kw_data_value_p10k,数据价值变现,5,0.0018132529009488995
84,kw_data_gov_p10k,数据治理,4,0.0020976037940478288
85,kw_data_stock_p10k,数据存量,2,0.0056376996687106384
85,kw_data_dev_p10k,数据开发能力,1,0.006026176979645968
85,kw_data_app_p10k,数据驱动应用,3,0.005354794787825861
85,kw_data_value_p10k,数据价值变现,5,0.002330892398356192
85,kw_data_gov_p10k,数据治理,4,0.002611930353393461
86,kw_data_stock_p10k,数据存量,1,0.005948233412276499
86,kw_data_dev_p10k,数据开发能力,2,0.005566630125947615
86,kw_data_app_p10k,数据驱动应用,3,0.005397391241178554
86,kw_data_value_p10k,数据价值变现,5,0.00204661136650598
86,kw_data_gov_p10k,数据治理,4,0.0024960089770251193
87,kw_data_stock_p10k,数据存量,1,0.006572718031044911
87,kw_data_dev_p10k,数据开发能力,2,0.006197771611323629
87,kw_data_app_p10k,数据驱动应用,3,0.005072429243364742
87,kw_data_value_p10k,数据价值变现,5,0.0020809319923608964
87,kw_data_gov_p10k,数据治理,4,0.0025683332364826684
88,kw_data_stock_p10k,数据存量,3,0.004734185195198821
88,kw_data_dev_p10k,数据开发能力,1,0.005853599964970274
88,kw_data_app_p10k,数据驱动应用,2,0.0051437986037521895
88,kw_data_value_p10k,数据价值变现,5,0.0016965292052305643
88,kw_data_gov_p10k,数据治理,4,0.002307260191201311
89,kw_data_stock_p10k,数据存量,3,0.0055894903898830875
89,kw_data_dev_p10k,数据开发能力,1,0.005866670923789948
