policy,exposure,outcome,status,coef,se_city_cluster,t,p,sig,n_input,treated_x_obs,clusters_city,y_mean,x_mean,n
pb_broad,natural_highlev_pre,NCSKEW,ok,0.05346925225449657,0.032828268317969575,1.6287564039809104,0.10459935435941703,,26541.0,955.0,406.0,-0.6896997822213247,0.035982065483591424,
pb_broad,natural_highlev_pre,DUVOL,ok,0.006838170353573239,0.012510850110572472,0.5465791927116563,0.5851458029623735,,26541.0,955.0,406.0,-0.46108389944967165,0.035982065483591424,
pb_broad,natural_highlev_pre,short_liab_ratio,ok,0.01977983659507747,0.010785716723421553,1.8338917201603189,0.06783541135274551,*,26541.0,955.0,406.0,0.8047610984859852,0.035982065483591424,
pb_broad,natural_highlev_pre,Lev,ok,-0.03110924455905422,0.008605614478043483,-3.614993983105669,0.0003618660524586925,***,26541.0,955.0,406.0,0.43810332700529503,0.035982065483591424,
pb_broad,failure_cost_pre,AuditFee,ok,0.05242690536764994,0.019772039123700878,2.6515679561247403,0.008513803636145845,***,26490.0,2754.0,406.0,13.99898005736616,0.07703850509626274,
pb_broad,failure_cost_pre,absDA,skip_no_variation,,,,,,,,,,,7942.0
pb_broad,failure_cost_pre,InvestIneff,ok,0.009347288326431695,0.0070709391028373186,1.3219302543110514,0.18743443382025204,,22884.0,2651.0,397.0,0.06884132895139639,0.0860098758958224,
pb_broad,failure_cost_pre,NCSKEW,ok,-0.09965833792276693,0.05843379561502811,-1.7054914347740338,0.08932053117488614,*,26541.0,2763.0,406.0,-0.6896997822213247,0.07716363362345051,
pb_broad,failure_cost_pre,DUVOL,ok,-0.04415165228772114,0.028990592997434728,-1.5229647869440945,0.12900664807539663,,26541.0,2763.0,406.0,-0.46108389944967165,0.07716363362345051,
pb_broad,failure_cost_pre,short_liab_ratio,ok,0.035246737747315515,0.016738589157015305,2.105717358654643,0.03620681092832867,**,26541.0,2763.0,406.0,0.8047610984859852,0.07716363362345051,
pb_broad,failure_cost_pre,Lev,ok,-0.01690977444231202,0.011102960539847575,-1.5229968963344764,0.12899861669254564,,26541.0,2763.0,406.0,0.43810332700529503,0.07716363362345051,
