outcome,exposure,event,term,coef,se_city_cluster,t,p,sig,ci_low,ci_high,n_input,clusters_city
NCSKEW,natural_pre,0,es_event0_natural_pre,-0.0885399827928069,0.057387032769280505,-1.5428569577516593,0.12410553270749936,,-0.20155287299763303,0.024472907412019212,26541,406
NCSKEW,natural_pre,+1,es_lag1_natural_pre,-0.2255799243554035,0.08302409592036186,-2.717041623335274,0.0070379724248006426,***,-0.3890801540035454,-0.0620796947072616,26541,406
NCSKEW,natural_pre,>=+2,es_lag2p_natural_pre,-0.27117364311416314,0.05738622471343021,-4.725413537278745,3.7987569698749724e-06,***,-0.38418494200606224,-0.15816234422226405,26541,406
DUVOL,natural_pre,<=-4,es_lead4m_natural_pre,-0.04555819393277181,0.044183411332850205,-1.0311153566112143,0.3034637009810277,,-0.13256905288254836,0.04145266501700474,26541,406
DUVOL,natural_pre,-3,es_lead3_natural_pre,-0.08390593989217225,0.03581218285336328,-2.3429440264988557,0.01990147474011361,**,-0.1544312501146726,-0.013380629669671906,26541,406
DUVOL,natural_pre,-2,es_lead2_natural_pre,-0.03815819016639944,0.02247144871993188,-1.6980743272040857,0.09071359248099098,*,-0.08241145165038541,0.006095071317586534,26541,406
DUVOL,natural_pre,0,es_event0_natural_pre,-0.04624387182106122,0.03204894929792537,-1.4429138188332036,0.15027198375765916,,-0.10935820642602653,0.016870462783904104,26541,406
DUVOL,natural_pre,+1,es_lag1_natural_pre,-0.12199229074918862,0.05357535135305782,-2.277022691746209,0.023613652339017133,**,-0.22749879645214965,-0.01648578504622758,26541,406
DUVOL,natural_pre,>=+2,es_lag2p_natural_pre,-0.1400895891727505,0.03250141759417698,-4.310260891446446,2.3308712632674755e-05,***,-0.20409497437604576,-0.07608420396945523,26541,406
NCSKEW,failure_cost_pre,<=-4,es_lead4m_failure_cost_pre,-0.006374902254320961,0.10917542751155994,-0.05839136515994829,0.9534826237696012,,-0.22137522562064035,0.20862542111199842,26541,406
NCSKEW,failure_cost_pre,-3,es_lead3_failure_cost_pre,-0.02445658264104663,0.10542720226182967,-0.2319760186778781,0.8167426939442788,,-0.23207548640489659,0.1831623211228033,26541,406
NCSKEW,failure_cost_pre,-2,es_lead2_failure_cost_pre,0.033179677205416695,0.04094468452294837,0.8103537148227482,0.41849251491951334,,-0.04745312280476619,0.11381247721559959,26541,406
NCSKEW,failure_cost_pre,0,es_event0_failure_cost_pre,-0.07365092435155092,0.058372095226558514,-1.2617488556079917,0.20819207730910416,,-0.18860370846545624,0.0413018597623544,26541,406
NCSKEW,failure_cost_pre,+1,es_lag1_failure_cost_pre,-0.18982880807257285,0.11464359442067028,-1.655816960658263,0.09898893542599252,*,-0.41559765033070284,0.035940034185557135,26541,406
NCSKEW,failure_cost_pre,>=+2,es_lag2p_failure_cost_pre,-0.3069223651500662,0.09396291005260897,-3.266420388408822,0.001238557539356533,***,-0.4919645170904581,-0.12188021320967435,26541,406
DUVOL,failure_cost_pre,<=-4,es_lead4m_failure_cost_pre,-0.012909603280319707,0.062381136401191424,-0.20694722836234103,0.8362162267756612,,-0.13575743455439024,0.10993822799375083,26541,406
DUVOL,failure_cost_pre,-3,es_lead3_failure_cost_pre,-0.08607257125729367,0.045257439162463435,-1.90184360516541,0.05831852539374882,*,-0.17519852456423973,0.0030533820496523867,26541,406
DUVOL,failure_cost_pre,-2,es_lead2_failure_cost_pre,0.001110284749744535,0.04295760856981118,0.025846055837586753,0.9794003414535033,,-0.08348658786222891,0.08570715736171798,26541,406
DUVOL,failure_cost_pre,0,es_event0_failure_cost_pre,-0.0483170679132532,0.04272641793185721,-1.130847617282411,0.2591816823880808,,-0.1324586543582537,0.03582451853174731,26541,406
DUVOL,failure_cost_pre,+1,es_lag1_failure_cost_pre,-0.11567404399004794,0.06694574752850216,-1.7278773971535637,0.08522087048152849,*,-0.24751101220438274,0.016162924224286862,26541,406
DUVOL,failure_cost_pre,>=+2,es_lag2p_failure_cost_pre,-0.15481039789949894,0.04632742950770957,-3.341657405657186,0.0009576254393364181,***,-0.2460434945029748,-0.06357730129602307,26541,406
absDA,natural_pre,<=-4,es_lead4m_natural_pre,-0.007175263570140164,0.01479008577970297,-0.48514009161373944,0.6281979112914615,,-0.03636991607471887,0.02201938893443854,7942,363
absDA,natural_pre,-3,es_lead3_natural_pre,-0.012154454425236522,0.01269625679075035,-0.9573258185902045,0.3397543395270217,,-0.03721602679444683,0.01290711794397378,7942,363
absDA,natural_pre,-2,es_lead2_natural_pre,0.010362290913565175,0.02254905928863045,0.4595442666111569,0.6464270606027325,,-0.03414806284923293,0.05487264467636327,7942,363
EarnQualAbs,natural_pre,<=-4,es_lead4m_natural_pre,-0.0031331342877141607,0.006240147118184477,-0.5020930161380109,0.6160422593773727,,-0.015422855849003736,0.009156587273575415,25078,403
EarnQualAbs,natural_pre,-3,es_lead3_natural_pre,0.0029411281837364222,0.0024840571765758265,1.1840018061865427,0.23753238043331537,,-0.0019511236276795298,0.007833379995152375,25078,403
EarnQualAbs,natural_pre,-2,es_lead2_natural_pre,0.0007047443412526964,0.003347313871044425,0.2105402625517167,0.8334168466690879,,-0.005887657195803853,0.007297145878309246,25078,403
EarnQualAbs,natural_pre,0,es_event0_natural_pre,-0.0008968881209382135,0.0024682910412092062,-0.3633640060933947,0.7166388266178754,,-0.005758089155812581,0.0039643129139361535,25078,403
EarnQualAbs,natural_pre,+1,es_lag1_natural_pre,0.001500218215693054,0.002828809567016983,0.5303355281264316,0.5963481774363646,,-0.004071009716937088,0.007071446148323196,25078,403
EarnQualAbs,natural_pre,>=+2,es_lag2p_natural_pre,-0.0013625099142876172,0.009439025683368841,-0.1443485757950952,0.8853410543494544,,-0.01995229558142655,0.01722727575285132,25078,403
AuditFee,failure_cost_pre,<=-4,es_lead4m_failure_cost_pre,-0.06738195783327203,0.02622225326847989,-2.5696478919402255,0.010749272641291219,**,-0.11902171836015202,-0.01574219730639203,26490,406
