exposure,y_family,y_name,event_year,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
gap,investor_attention,InstStable,2020,-.1357366099860736,.1378347,-.98477817,.33235717,22080,0,0,0
gap,investor_attention,InstStable,2021,-.3654226438579349,.16768381,-2.1792362,.037034813,22080,1,1,0
gap,investor_attention,InstStable,2023,-.1115673639227788,.12124683,-.92016727,.36459076,22080,0,0,0
gap,investor_attention,InstStable,2024,-.2841662181305938,.20799263,-1.3662322,.18169567,22080,0,0,0
gap,operating_resilience,CashFlowVol,2019,-.0005900405617158,.0012041869,-.48999083,.62759036,22096,0,0,0
gap,operating_resilience,CashFlowVol,2020,-.0017664850311717,.00094163592,-1.8759745,.070102789,22096,1,0,0
gap,operating_resilience,CashFlowVol,2021,.0000237570308485,.0011766216,.020190883,.98402047,22096,0,0,0
gap,operating_resilience,CashFlowVol,2023,.0000345555677832,.00075631362,.045689467,.9638508,22096,0,0,0
gap,operating_resilience,CashFlowVol,2024,.0006213540353037,.0023951796,.25941855,.79702735,22096,0,0,0
gap,pricing_efficiency,PriceDelay,2019,-.0089175166220539,.00638645,-1.3963182,.17253767,22096,0,0,0
gap,pricing_efficiency,PriceDelay,2020,-.0163785511699073,.0050297766,-3.2563176,.002732655,22096,1,1,1
gap,pricing_efficiency,PriceDelay,2021,-.0370039782587425,.011193189,-3.3059371,.0023992211,22096,1,1,1
gap,pricing_efficiency,PriceDelay,2023,-.0123789050597561,.0049806996,-2.4853747,.018542726,22096,1,1,0
gap,pricing_efficiency,PriceDelay,2024,.0088509371227156,.0047075725,1.8801488,.069513626,22096,1,0,0
gap,productivity,TFP,2019,,,,,0,,,
gap,productivity,TFP,2020,,,,,0,,,
gap,productivity,TFP,2021,,,,,0,,,
gap,productivity,TFP,2023,,,,,0,,,
gap,productivity,TFP,2024,,,,,0,,,
gap,supply_chain,SCConc,2019,.6363689652300886,.67604637,.94130963,.35382417,21939,0,0,0
gap,supply_chain,SCConc,2020,.2763904587583164,.58482569,.47260314,.63980681,21939,0,0,0
gap,supply_chain,SCConc,2021,.1241230111593496,.4126747,.30077687,.76559275,21939,0,0,0
gap,supply_chain,SCConc,2023,.4353189016578111,.22159857,1.9644482,.058497112,21939,1,1,0
